movieID,Movie,Watched,ReleaseDate,Popularity,Genre,Synopsis,Director,IMDB_Rating,Poster,ID,IMDB_ID,IMDB_Page
17,E.T. the Extra-Terrestrial,checked,1982-06-11,30.711,"Science Fiction,Adventure,Family,Fantasy","After a gentle alien becomes stranded on Earth, the being is discovered and befriended by a young boy named Elliott. Bringing the extraterrestrial into his suburban California house, Elliott introduces E.T., as the alien is dubbed, to his brother and his little sister, Gertie, and the children decide to keep its existence a secret. Soon, however, E.T. falls ill, resulting in government intervention and a dire situation for both Elliott and the alien.",,,https://image.tmdb.org/t/p/original//6lJTIPzRV3kAKJAWnOX6Ve318fd.jpg,601,,
18,The Thing,checked,1982-06-25,29.633,"Horror,Mystery,Science Fiction","Members of an American scientific research outpost in Antarctica find themselves battling a parasitic alien organism capable of perfectly imitating its victims. They soon discover that this task will be harder than they thought, as they don't know which members of the team have already been assimilated and their paranoia threatens to tear them apart.",,,https://image.tmdb.org/t/p/original//tzGY49kseSE9QAKk47uuDGwnSCu.jpg,1091,,
19,Conan the Barbarian,checked,1982-04-02,23.465,"Action,Adventure,Fantasy","A film adaptation of the classic sword and sorcery hero, Conan the Barbarian. A horde of rampaging warriors massacre the parents of young Conan and enslave the young child for years on The Wheel of Pain. As the sole survivor of the childhood massacre, Conan is released from slavery and taught the ancient arts of fighting. Transforming himself into a killing machine, Conan travels into the wilderness to seek vengeance on Thulsa Doom, the man responsible for killing his family. In the wilderness, Conan takes up with the thieves Valeria and Subotai. The group comes upon King Osric, who wants the trio of warriors to help rescue his daughter who has joined Doom in the hills.",,,https://image.tmdb.org/t/p/original//iLZhsw8Q1g7iw9ZCMGBZWVqiD6v.jpg,9387,,
20,48 Hrs.,checked,1982-12-07,18.376,"Action,Comedy,Crime,Drama,Thriller","A hard-nosed cop reluctantly teams up with a wise-cracking criminal temporarily paroled to him, in order to track down a killer.",,,https://image.tmdb.org/t/p/original//nSv84LNQIsfZsqVBLg8hzsSzGM.jpg,150,,
21,Rocky III,checked,1982-05-28,17.141,Drama,"Now the world champion, Rocky Balboa is living in luxury and only fighting opponents who pose no threat to him in the ring, until Clubber Lang challenges him to a bout. After taking a pounding from Lang, the humbled champ turns to former bitter rival Apollo Creed for a rematch with Lang.",,,https://image.tmdb.org/t/p/original//lklrplDDuALhY3k8IDFdRqtpZPk.jpg,1371,,
22,An Officer and a Gentleman,checked,1982-07-28,16.841,"Drama,Romance","Zack Mayo is an aloof, taciturn man who aspires to be a navy pilot. Once he arrives at training camp for his 13-week officer's course, Mayo runs afoul of abrasive, no-nonsense drill Sergeant Emil Foley. Mayo is an excellent cadet, but a little cold around the heart, so Foley rides him mercilessly, sensing that the young man would be prime officer material if he weren't so self-involved. Zack's affair with a working girl is likewise compromised by his unwillingness to give of himself.",,,https://image.tmdb.org/t/p/original//nloIjLT5EFl4PUfbV6acxx4yiH7.jpg,2623,,
23,Tron,checked,1982-07-09,16.42,"Action,Adventure,Science Fiction","As Kevin Flynn searches for proof that he invented a hit video game, he is 'digitalized' by a laser and finds himself inside 'The Grid', where programs suffer under the tyrannical rule of the Master Control Program (MCP). With the help of a security program called 'TRON', Flynn seeks to free The Grid from the MCP.",,,https://image.tmdb.org/t/p/original//jigY9B6TKz4qlfikZcd18qtzTK4.jpg,97,,
24,Gandhi,checked,1982-11-30,12.723,"Drama,History","In the early years of the 20th century, Mohandas K. Gandhi, a British-trained lawyer, forsakes all worldly possessions to take up the cause of Indian independence. Faced with armed resistance from the British government, Gandhi adopts a policy of 'passive resistance', endeavouring to win freedom for his people without resorting to bloodshed.",,,https://image.tmdb.org/t/p/original//mGIDXmuCeLu1nzOxLbN8fWwn1fN.jpg,783,,
25,Scarface,checked,1983-12-08,33.8,"Action,Crime,Drama,Thriller","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.",,,https://image.tmdb.org/t/p/original//nGY6NnlDsWaRKAycWUgXanqLxia.jpg,111,,
26,Return of the Jedi,checked,1983-05-25,29.031,"Action,Adventure,Science Fiction","Luke Skywalker leads a mission to rescue his friend Han Solo from the clutches of Jabba the Hutt, while the Emperor seeks to destroy the Rebellion once and for all with a second dreaded Death Star.",,,https://image.tmdb.org/t/p/original//mDCBQNhR6R0PVFucJl0O4Hp5klZ.jpg,1892,,
27,Octopussy,checked,1983-06-05,19.841,"Action,Adventure,Thriller",James Bond is sent to investigate after a fellow “00” agent is found dead with a priceless Fabergé egg. Bond follows the mystery and uncovers a smuggling scandal and a Russian General who wants to provoke a new World War.,,,https://image.tmdb.org/t/p/original//cFDNFEBhnFIN5EVUM2RyHuY8Ipz.jpg,700,,
28,Never Say Never Again,checked,1983-10-07,19.432,"Action,Adventure,Thriller","James Bond returns as the secret agent 007 one more time to battle the evil organization SPECTRE. Bond must defeat Largo, who has stolen two atomic warheads for nuclear blackmail. But Bond has an ally in Largo's girlfriend, the willowy Domino, who falls for Bond and seeks revenge. This is the last time for Sean Connery as Her Majesty's Secret Agent 007. Made outside of the traditional Broccoli production environment due to separate rights having been obtained for this specific Ian Fleming story.",,,https://image.tmdb.org/t/p/original//xGF7Kcq4aRA8p69IN3rKMA4onDG.jpg,36670,,
29,Trading Places,checked,1983-06-07,16.242,Comedy,A snobbish investor and a wily street con-artist find their positions reversed as part of a bet by two callous millionaires.,,,https://image.tmdb.org/t/p/original//8mBuLCOcpWnmYtZc4aqtvDXslv6.jpg,1621,,
30,Superman III,checked,1983-06-17,15.098,"Comedy,Science Fiction,Action,Adventure","Aiming to defeat the Man of Steel, wealthy executive Ross Webster hires bumbling but brilliant Gus Gorman to develop synthetic kryptonite, which yields some unexpected psychological effects in the third installment of the 1980s Superman franchise. Between rekindling romance with his high school sweetheart and saving himself, Superman must contend with a powerful supercomputer.",,,https://image.tmdb.org/t/p/original//lsM42r8n6XR1KsPv5UyDbCfWH8L.jpg,9531,,
31,The Terminator,checked,1984-10-26,36.322,"Action,Science Fiction,Thriller","In the post-apocalyptic future, reigning tyrannical supercomputers teleport a cyborg assassin known as the ""Terminator"" back to 1984 to kill Sarah Connor, whose unborn son is destined to lead insurgents against 21st century mechanical hegemony. Meanwhile, the human-resistance movement dispatches a lone warrior to safeguard Sarah. Can he stop the virtually indestructible killing machine?",,,https://image.tmdb.org/t/p/original//qvktm0BHcnmDpul4Hz01GIazWPr.jpg,218,,
32,Ghostbusters,checked,1984-06-08,28.877,"Comedy,Fantasy","After losing their academic posts at a prestigious university, a team of parapsychologists goes into business as proton-pack-toting ""ghostbusters"" who exterminate ghouls, hobgoblins and supernatural pests of all stripes. An ad campaign pays off when a knockout cellist hires the squad to purge her swanky digs of demons that appear to be living in her refrigerator.",,,https://image.tmdb.org/t/p/original//h5Qz8J4T8YQnbZzHXM73WVYYVPK.jpg,620,,
33,The Karate Kid,checked,1984-06-22,27.549,"Drama,Action","Hassled by the school bullies, Daniel LaRusso has his share of adolescent woes. Luckily, his apartment building houses a resident martial arts master: Kesuke Miyagi, who agrees to train Daniel ... and ends up teaching him much more than self-defense. Armed with newfound confidence, skill and wisdom, Daniel ultimately faces off against his tormentors in this hugely popular classic underdog tale.",,,https://image.tmdb.org/t/p/original//5HYCcuedxqW9ss4qSM4NVEDTnRj.jpg,1885,,
34,Indiana Jones and the Temple of Doom,checked,1984-05-23,20.692,"Adventure,Action","After arriving in India, Indiana Jones is asked by a desperate village to find a mystical stone. He agrees – and stumbles upon a secret cult plotting a terrible plan in the catacombs of an ancient palace.",,,https://image.tmdb.org/t/p/original//pbaXm7FAdmdvyEzQue1BRpuz2Vq.jpg,87,,
35,Beverly Hills Cop,checked,1984-01-25,20.69,"Action,Comedy,Crime","Tough-talking Detroit cop Axel Foley heads to the rarified world of Beverly Hills in his beat-up Chevy Nova to investigate a friend's murder, but soon realizes he's stumbled onto something much more complicated. Bungling rookie detective, Billy Rosewood joins the fish-out-of-water Axel and shows him the West Los Angeles ropes.",,,https://image.tmdb.org/t/p/original//2O0KSDef3gRuoOswd9HCv0HSfXL.jpg,90,,
36,Gremlins,checked,1984-06-07,20.577,"Comedy,Fantasy,Horror","When Billy Peltzer is given a strange but adorable pet named Gizmo for Christmas, he inadvertently breaks the three important rules of caring for a Mogwai, and unleashes a horde of mischievous gremlins on a small town.",,,https://image.tmdb.org/t/p/original//72Y1X9pMSjXQ7mKB6pBEoMhL0OQ.jpg,927,,
