tvshowID,TVShow,Watched,ReleaseDate,Popularity,CountryOfOrigin,Genre,Creator,Synopsis,Poster,ID,WikipediaPage
13,Alvin and the Chipmunks,checked,1983-09-17,17.477,US,"Animation,Comedy,Family",,"Alvin and the Chipmunks is an American animated television series featuring The Chipmunks, produced by Bagdasarian Productions in association with Ruby-Spears Enterprises from 1983–87, and DIC Entertainment from 1988–90.

It aired from 1983 to 1990 on NBC and is the follow-up to the original 1961–62 series, The Alvin Show. The show introduced The Chipettes, three female Chipmunks with their own human caretaker, Miss Beatrice Miller. In 1988, the show switched production companies to DiC Enterprises and was renamed just The Chipmunks.

In 1987, during the show's fifth season, the Chipmunks' first animated feature film, The Chipmunk Adventure, was released to theaters by The Samuel Goldwyn Company. The film was directed by Janice Karman and featured the Chipmunks and Chipettes in a contest traveling around the world. In its eighth and final season, the show again switched titles to The Chipmunks Go to the Movies. Each episode was a spoof of a Hollywood film like Back to the Future or King Kong. Several television specials featuring the characters were also released. In 1990, the special Rockin' Through the Decades was produced. That year, the Chipmunks also teamed up with other well-known cartoon characters for the drug abuse-prevention special Cartoon All-Stars to the Rescue.",https://image.tmdb.org/t/p/original//rmx8Khnutah9dnbpkYjJZSMzSID.jpg,2160,
14,Fraggle Rock,checked,1983-01-10,14.74,CA,"Family,Kids,Sci-Fi & Fantasy",,"The Fraggles are a fun-loving community of creatures who live in a subterranean fantasy land where they love to play, sing and dance their cares away, sharing their world with the tiny Doozers and the giant Gorgs. The series teaches empathy and tolerance and encourages children to understand people different from themselves.",https://image.tmdb.org/t/p/original//nyvNej9aHC2wydFflPMrASS6MF7.jpg,2957,
15,Blackadder,checked,1983-06-15,11.851,GB,"Comedy,War & Politics",,"Through four series and a few specials, Edmund Blackadder and his greasy sidekick Baldrick conjure up cunning plans as Edmund tries to take advantage of desperate times. These situation tragedies had obvious parallels from the Dark Ages to Elizabethan times, the rule of mad George III, and The Great War.",https://image.tmdb.org/t/p/original//y3rXOeklqhZ7BTBveW5WLJqyjgU.jpg,7246,
16,The Cosby Show,checked,1984-09-20,31.987,US,"Comedy,Family",,"The Cosby Show is an American television situation comedy starring Bill Cosby, which aired for eight seasons on NBC from September 20, 1984 until April 30, 1992. The show focuses on the Huxtable family, an upper middle-class African-American family living in Brooklyn, New York.

According to TV Guide, the show ""was TV's biggest hit in the 1980s, and almost single-handedly revived the sitcom genre and NBC's ratings fortunes"". Originally, the show had been pitched to ABC, which rejected it. Entertainment Weekly stated that The Cosby Show helped to make possible a larger variety of shows based on people of African descent, from In Living Color to The Fresh Prince of Bel-Air. The Cosby Show was based on comedy routines in Cosby's standup act, which were based on his family life. Other sitcoms, such as Home Improvement and Everybody Loves Raymond, would later follow that pattern. The show spawned the spin-off A Different World, which ran for six seasons from 1987 to 1993.",https://image.tmdb.org/t/p/original//taELun0eDbbpVA76sdmv8tLho9J.jpg,1759,
17,The Bill,checked,1984-10-16,29.315,GB,"Crime,Drama",,The daily lives of the men and women at Sun Hill Police Station as they fight crime on the streets of London. From bomb threats to armed robbery and drug raids to the routine demands of policing this ground-breaking series focuses as much on crime as it does on the personal lives of its characters.,https://image.tmdb.org/t/p/original//bMd4T647b9YdkbQvULyndBNV8uL.jpg,2072,
18,Airwolf,checked,1984-01-22,26.161,US,"Action & Adventure,Sci-Fi & Fantasy",,"Airwolf is an American television series that ran from 1984 until 1987. The program centers on a high-tech military helicopter, code named Airwolf, and its crew as they undertake various missions, many involving espionage, with a Cold War theme.

The show was created by Donald P. Bellisario. The first three seasons star Jan-Michael Vincent, Ernest Borgnine, Alex Cord, and Jean Bruce Scott. After the original series was cancelled, a fourth season, with an entirely new cast and on a much smaller budget, was filmed in Canada for the USA Network.",https://image.tmdb.org/t/p/original//2HSB7yOGjH3m6sW40tJ76UtcZUB.jpg,2119,
19,Thomas & Friends,checked,1984-10-09,24.37,GB,"Animation,Kids",,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",https://image.tmdb.org/t/p/original//ovJvWQ8E8aYShcRlTwpqKhuq7FA.jpg,2304,
20,The Transformers,checked,1984-10-06,22.788,US,"Animation,Action & Adventure,Sci-Fi & Fantasy",,The Transformers is the first animated television series in the Transformers franchise. The series depicts a war among giant robots that can transform into vehicles and other objects.,https://image.tmdb.org/t/p/original//evcHcl8Q3hCRqEIiUHevrHj3B5p.jpg,4269,
21,"Murder, She Wrote",checked,1984-09-30,16.072,US,"Crime,Drama,Mystery",,An unassuming mystery writer turned sleuth uses her professional insight to help solve real-life homicide cases.,https://image.tmdb.org/t/p/original//dOppiJXh0vdeIHgCV9X98zANmQL.jpg,484,
22,Muppet Babies,checked,1984-11-05,12.066,US,"Animation,Kids",,"The Muppet Babies (Kermit, Piggy, Gonzo, Fozzy and company) live in a large nursery watched over by Nanny. The babies have active imaginations, and often embark upon adventures into imaginary worlds.",https://image.tmdb.org/t/p/original//oJc14qy42hABKKWlQwEguFdeTdU.jpg,565,
23,'Allo 'Allo!,checked,1984-09-07,11.941,GB,"Comedy,War & Politics",,The misadventures of hapless cafe owner René Artois and his escapades with the Resistance in occupied France.,https://image.tmdb.org/t/p/original//durOV8PG9TqTZ1lk67EOC8gJQNt.jpg,2211,
24,MacGyver,checked,1985-09-29,39.643,US,Action & Adventure,,"Angus MacGyver works as a troubleshooter for the Phoenix Foundation in Los Angeles and as an agent for a United States government agency, the Department of External Services. Educated as a scientist, MacGyer served as a Bomb Team Technician/EOD during the Vietnam War. Resourceful and possessed of an encyclopedic knowledge of the physical sciences, he solves complex problems with everyday materials he finds at hand, along with his ever-present duct tape and Swiss Army knife. He prefers non-violent resolutions and prefers not to handle a gun, but will if necessary.",https://image.tmdb.org/t/p/original//z0BJtmbcpkNDHEtiBpMGkMffbV9.jpg,2875,
25,ThunderCats,checked,1985-01-23,16.037,US,"Animation,Action & Adventure,Sci-Fi & Fantasy",,"The inhabitants of the planet Thundera evacuate just before it is destroyed. They were pursued by a band of mutants. All but one of their escape ships was destroyed. Only a small group of Thunderans (Thundercats) remained. With only half engine power, the group, which was led by Jaga, had to set a course for the nearest planet. Jaga commanded their ship while the other seven were in their stasis tubes. Jaga died on their journey to Third Earth and their ship crashed there. Soon they made friends with various groups in the area and they designed a fortress. Mumm-Ra the centuries-old embodiment of evil, along with the mutants that destroyed the rest of the Thunderans are a constant threat. But Lion-O, the new leader of the Thundercats, with his weapon the ""Sword of Omens"" will help the Thundercats to have a standing chance.",https://image.tmdb.org/t/p/original//ftcrZw3Xj89o1NLH4YHgAWfXbdi.jpg,1988,
26,ALF,checked,1986-09-22,20.77,US,"Comedy,Family",,A furry alien wiseguy comes to live with a terran family after crashing into their garage.,https://image.tmdb.org/t/p/original//sKXlWh2hWpLzSeDmKLMg0ekUUa1.jpg,4658,
27,The Real Ghostbusters,checked,1986-09-13,20.244,US,"Animation,Comedy,Mystery,Action & Adventure",,"The Real Ghostbusters is an American animated television series spun-off from the Ghostbusters franchise. The series ran from 1986 to 1991, and was produced by Columbia Pictures Television, DiC Enterprises, and Coca-Cola Telecommunications. ""The Real"" was added to the title after a dispute with Filmation and its Ghost Busters properties. The series continues the adventures of paranormal investigators Dr. Peter Venkman, Dr. Egon Spengler, Dr. Ray Stantz, Winston Zeddemore, their secretary Janine Melnitz and their mascot ghost Slimer.

There also were two ongoing Real Ghostbusters comics, one published monthly by Now Comics in USA and the other published weekly by Marvel Comics in the United Kingdom, and a popular toy line manufactured by Kenner.",https://image.tmdb.org/t/p/original//j1xlBYeyOQcH51xQc4gEFJK6o13.jpg,2286,
28,The Care Bears,checked,1986-09-13,15.095,US,"Animation,Sci-Fi & Fantasy",,"The Care Bears live in a faraway place up in the clouds called Care-a-Lot. They travel around the world on Missions in Caring, whilst evil villains such as Professor Coldheart and Lord No Heart, try to thwart their plans.",https://image.tmdb.org/t/p/original//cEfqYEzVlnBLnT36GJ3y8Jm5gAO.jpg,2264,
29,Lovejoy,checked,1986-01-10,12.563,GB,"Comedy,Drama,Mystery",,"The adventures of the eponymous Lovejoy, a likeable but roguish antiques dealer based in East Anglia. Within the trade, he has a reputation as a “divvie”, a person with an almost supernatural powers for recognising exceptional items as well as distinguishing genuine antique from clever fakes or forgeries.",https://image.tmdb.org/t/p/original//u8laLfmd7ZxxIFP3DUaqKnVRMFH.jpg,4557,
30,Star Trek: The Next Generation,checked,1987-09-28,56.948,US,"Drama,Mystery,Action & Adventure,Sci-Fi & Fantasy",,"Follow the intergalactic adventures of Capt. Jean-Luc Picard and his loyal crew aboard the all-new USS Enterprise NCC-1701D, as they explore new worlds.",https://image.tmdb.org/t/p/original//aV6G8ZbR5wIu9N9O8xgJeQFVUky.jpg,655,
31,Teenage Mutant Ninja Turtles,checked,1987-09-10,36.327,JP,"Animation,Comedy,Action & Adventure,Kids",,"Distinctly different from the grim, violent, and dark MIRAGE comics from which the Turtles originated, this version of the franchise has remained the longest running, and most memorable, version of all. Four turtles fall into the sewers and are befriended by Hamato Yoshi a Japanese man sent to New York who was forced to live in the sewers. One day he sees a strange green glow which transforms the four turtles into human-like creatures. Hamato (now Master Splinter) changes into a giant rat from the green glow and teaches the turtles the skills of the ninja as they team up with Channel 6 news reporter April O'Neil to battle against Yoshi's arch enemy Shredder and Krang, an alien warlord from Dimension X.",https://image.tmdb.org/t/p/original//9vpWpUNKDbC41dRrsQziKREqp29.jpg,160,
32,DuckTales,checked,1987-09-18,30.221,US,"Animation,Mystery,Family,Sci-Fi & Fantasy",,"Scrooge McDuck finds his hands full at home when nephews Huey, Dewey and Louie move to Duckburg. Joined by their loyal pals Launchpad McQuack, Gyro Gearloose and Mrs. Beakley, the DuckTales gang never fails to deliver a wealth of adventure. Get ready for a fortune of fun with DuckTales!",https://image.tmdb.org/t/p/original//muplnM90daPCQ5Bn1olcwN1EO22.jpg,720,
33,Inspector Morse,checked,1987-01-06,15.959,GB,"Crime,Drama,Mystery",,"Inspector Morse is a detective drama based on Colin Dexter's series of Chief Inspector Morse novels. The series starred John Thaw as Chief Inspector Morse and Kevin Whately as Sergeant Lewis, as well as a large cast of notable actors and actresses.",https://image.tmdb.org/t/p/original//34M8vNNtYqnrV5ilokWkGbc51Ia.jpg,3476,
34,The New Adventures of Winnie the Pooh,checked,1988-09-10,21.483,US,"Animation,Comedy,Family",,An American animated children's television series inspired by A. A. Milne's Winnie-the-Pooh stories.,https://image.tmdb.org/t/p/original//68zd0XH7YlbIpjmbZ5i5rgi3Dh5.jpg,2005,
35,Garfield and Friends,checked,1988-09-17,21.113,US,"Animation,Comedy",,"The animated stories of Garfield the cat, Odie the dog, their owner Jon and the trouble they get into. And also Orson the Pig and his adventures on a farm with his fellow farm animals.",https://image.tmdb.org/t/p/original//3HyTfZ9sSCoZPYrYHMffhRVm3Af.jpg,4606,
36,Whose Line Is It Anyway?,checked,1988-09-23,20.879,GB,Comedy,,"An un-scripted comedy show in which four guest performers improvise their way through a series of games, many of which rely on audience suggestions.",https://image.tmdb.org/t/p/original//9K9R0fw8yxfmioUllJKMH16aKUz.jpg,3269,
37,Red Dwarf,checked,1988-02-15,20.485,GB,"Comedy,Sci-Fi & Fantasy",,"The adventures of the last human alive and his friends, stranded three million years into deep space on the mining ship Red Dwarf.",https://image.tmdb.org/t/p/original//dAaVWMhCCrSuimSETs9Z5ZTZQ3v.jpg,326,
38,Mission: Impossible,checked,1988-10-23,13.429,US,"Drama,Action & Adventure",,"Mission: Impossible is an American television series that chronicles the missions of a team of secret American government agents known as the Impossible Missions Force. The show is a revival of the 1966 TV series of the same name. The only actor to return for the series as a regular cast member was Peter Graves who played Jim Phelps, although two other cast members from the original series returned as guest stars. The only other regular cast member to return for every episode was the voice of ""The Tape"", Bob Johnson.",https://image.tmdb.org/t/p/original//4AZwDa0RZLIVsOgZxlgOqNUw3U6.jpg,9894,
39,The Simpsons,checked,1989-12-17,126.128,US,"Animation,Comedy",,"Set in Springfield, the average American town, the show focuses on the antics and everyday adventures of the Simpson family; Homer, Marge, Bart, Lisa and Maggie, as well as a virtual cast of thousands. Since the beginning, the series has been a pop culture icon, attracting hundreds of celebrities to guest star. The show has also made name for itself in its fearless satirical take on politics, media and American life in general.",https://image.tmdb.org/t/p/original//qcr9bBY6MVeLzriKCmJOv1562uY.jpg,456,
40,Baywatch,checked,1989-04-23,51.863,US,"Drama,Action & Adventure",,The thrilling adventures of the iconic Los Angeles County Lifeguards as they patrol the beautiful beaches of Southern California.,https://image.tmdb.org/t/p/original//34t8WxHn1OcIVpcTxmjYmjX9tE4.jpg,4386,
41,Agatha Christie's Poirot,checked,1989-01-08,43.857,GB,"Crime,Drama,Mystery",,"From England to Egypt, accompanied by his elegant and trustworthy sidekicks, the intelligent yet eccentrically-refined Belgian detective Hercule Poirot pits his wits against a collection of first class deceptions.",https://image.tmdb.org/t/p/original//hxqeJ1loc0IRr4kmWFfZkFN2fvS.jpg,790,
42,Quantum Leap,checked,1989-03-26,28.78,US,"Action & Adventure,Drama,Sci-Fi & Fantasy",,"Theorizing that one could time travel within his own lifetime, Dr. Sam Beckett stepped into the Quantum Leap accelerator and vanished... He woke to find himself trapped in the past, facing mirror images that were not his own and driven by an unknown force to change history for the better. His only guide on this journey is Al, an observer from his own time, who appears in the form of a hologram that only Sam can see and hear. And so Dr. Beckett finds himself leaping from life to life, striving to put right what once went wrong and hoping each time that his next leap will be the leap home.",https://image.tmdb.org/t/p/original//ujIGP3e3V6kDQHRhjNYtUE3fHJi.jpg,4018,
43,"Doogie Howser, M.D.",checked,1989-09-19,25.091,US,"Comedy,Drama",,"Doogie Howser, M.D. is an American television comedy-drama starring Neil Patrick Harris as a teenage physician who also faces the problems of being a normal teenager. Creators Steven Bochco and David E. Kelley, partnering with ABC, aired the show from 1989 to 1993 for four seasons totaling 97 episodes.",https://image.tmdb.org/t/p/original//c8eDeClpsZvOvNHQA9MT9FDbCPO.jpg,1750,
44,Chip 'n' Dale Rescue Rangers,checked,1989-03-04,21.769,US,"Animation,Comedy,Kids,Family",,"Chip 'n Dale: Rescue Rangers is an animated series produced by Walt Disney Television Animation. Created by Tad Stones and Alan Zaslove, it featured the established Disney characters Chip 'n' Dale in a new setting. The series premiered on the Disney Channel on March 4, 1989, after a preview episode was aired on August 27, 1988. The series premiered with a two-hour movie special, Rescue Rangers: To the Rescue, which was later broken up into five parts to air as part of the weekday run. The final episode aired on November 19, 1990.

On September 18, 1989, the series entered national syndication. From 1998 to 1999, reruns of the show were aired as a part of the Disney Afternoon line up.",https://image.tmdb.org/t/p/original//dDF3zKlqNezRHf3faefOlVjqpBl.jpg,1615,
45,"Beverly Hills, 90210",checked,1990-10-04,50.748,US,Drama,,"Follow the lives of a group of teenagers living in the upscale, star-studded community of Beverly Hills, California and attending the fictitious West Beverly Hills High School and, subsequently, the fictitious California University after graduation.",https://image.tmdb.org/t/p/original//sWfDgsXIpJYLWKb2RCqG2Ajsycq.jpg,2025,
46,The Fresh Prince of Bel-Air,checked,1990-09-10,24.842,US,"Comedy,Family",,"Will, a street-smart teenager, moves from the tough streets of West Philly to posh Bel-Air to live with his Uncle Philip, Aunt Vivian, his cousins — spoiled Hilary, preppy Carlton and young Ashley — and their sophisticated British butler, Geoffrey. Though Will’s antics and upbringing contrast greatly with the upper-class lifestyle of his extended relatives, he soon finds himself right at home as a loved part of the family.",https://image.tmdb.org/t/p/original//gYPE5vfStpVTf1ULE11B1Vwm12b.jpg,1892,
47,Tom & Jerry Kids Show,checked,1990-09-08,23.925,US,Animation,,"Tom and Jerry in their childhood days, playing cat-and-mouse games even then.",https://image.tmdb.org/t/p/original//mgtNZzlq2Ro33Xnrj1DUTtxz4IA.jpg,4274,
48,TaleSpin,checked,1990-09-09,22.008,US,"Animation,Family,Kids",,Baloo the Bear stars in an adventurous comedy of love and conflict with his friend Kit Cloudkicker. Rebecca Cunningham and her daughter Molly purchase Baloo's failing company and Baloo must fly transport runs to clear his debt while dodging Don Karnage and his sky pirates.,https://image.tmdb.org/t/p/original//xCmxRHx10HEAcbQps6uJWjkpB56.jpg,2720,
49,Tiny Toon Adventures,checked,1990-09-14,21.275,US,"Animation,Comedy",,"Tiny Toon Adventures, is an American animated comedy television series produced by Amblin Entertainment and Warner Bros. Animation and was broadcast from September 14, 1990 through May 28, 1995. It follows the adventures of a group of young cartoon characters who attend the Acme Looniversity to become the next generation of characters from the Looney Tunes series.

Conceived in the late 1980s by producer Tom Ruegger, the cartoon was the first animated series produced by the collaboration of Steven Spielberg and Warner Bros. Animation during the animation renaissance of the late 1980s and early 1990s.

The pilot episode, ""The Looney Beginning,"" aired as a prime-time special on CBS on September 14, 1990; while the series itself was featured in first-run syndication for the first two seasons. The last season was aired on Fox Kids. The series ended production in 1992 in favor of Animaniacs, however, two specials were produced in 1994. On July 1, 2013, Tiny Toon Adventures began airing on the Hub Network.",https://image.tmdb.org/t/p/original//zmwgsLCPxFKeOSsuYUNpfYLfTxf.jpg,1830,
50,Moomin,checked,1990-04-12,20.919,FI,"Animation,Comedy,Family,Kids",,"In the remote and mysterious Moomin Valley live the Moomin trolls, gentle and peaceful creatures. Young Moomin and his family experience many strange adventures, both magical and mundane. Based on the children's stories by Tove Jansson.",https://image.tmdb.org/t/p/original//23JdcOeWsd0CspOoWFbH1byARq0.jpg,67575,
51,Captain Planet and the Planeteers,checked,1990-09-15,18.98,US,"Animation,Action & Adventure",,"Captain Planet and the Planeteers is an American animated environmentalist television program created by Ted Turner, Robert Larkin III, and Barbara Pyle, produced by Pyle, Nicholas Boxer, Andy Heyward and Robby London, and developed by Pyle, Boxer, Heyward, London, Thom Beers, Bob Forward, Phil Harnage and Cassandra Schafhausen. The series was produced by Turner Program Services and DIC Entertainment and it was broadcast on TBS from September 15, 1990 to December 5, 1992. A sequel series, The New Adventures of Captain Planet, was produced by Hanna-Barbera and Turner Program Services, and was broadcast from September 11, 1993 to May 11, 1996. Both series continue today in syndication. The program is a form of edutainment and advocates environmentalism.

In February 2009, Mother Nature Network began airing episodes and unreleased footage of Captain Planet and the Planeteers on its website. In September 2010, the Planeteer Movement was launched with the assistance of Pyle as a means for fans of the show to connect and continue to integrate the show's messages into their lives as real-life Planeteers.",https://image.tmdb.org/t/p/original//xuZ5Vhh72NtoWe4qrbUriWMJNXp.jpg,478,
52,Mr. Bean,checked,1990-01-01,18.316,GB,"Comedy,Family",,Mr Bean turns simple everyday tasks into chaotic situations and will leave you in stitches as he creates havoc wherever he goes.,https://image.tmdb.org/t/p/original//easBBYnYs107Xf279zpQHVUrMGM.jpg,4327,
53,Blossom,checked,1990-07-05,16.509,US,"Comedy,Drama,Family",,"Blossom is an American sitcom broadcast on NBC from January 3, 1991, to May 22, 1995. The series was created by Don Reo, and starred Mayim Bialik as Blossom Russo, a teenager living with her father and two brothers. It was produced by Reo's Impact Zone Productions in association with Witt/Thomas Productions and Touchstone Television.",https://image.tmdb.org/t/p/original//oMmbFsdGApOj5YJX74APgd8jS6b.jpg,4545,
54,Have I Got News for You,checked,1990-09-28,11.932,GB,"Comedy,News",,"Hilarious, totally-irreverent, near-slanderous political quiz show, based mainly on news stories from the last week or so, that leaves no party, personality or action unscathed in pursuit of laughs.",https://image.tmdb.org/t/p/original//6lCoUAqA5CEwONQ4QewPxZFwpyJ.jpg,797,
55,Rugrats,checked,1991-08-11,50.895,US,"Animation,Family",,"Rugrats is an American animated television series created by Arlene Klasky, Gábor Csupó, and Paul Germain for Nickelodeon. The show focuses on a group of toddlers, most prominently Tommy, Chuckie, Phil, Lil, and Angelica, and their day-to-day lives, usually involving common life experiences that become adventures in the babies' imaginations. Adults in the series are almost always unaware of what the children are up to; however, this only provides more room for the babies to explore and discover their surroundings.",https://image.tmdb.org/t/p/original//nZulazecpNkRy1L2VekTvEJFhr9.jpg,3022,
56,Doug,checked,1991-08-11,25.474,US,"Animation,Comedy,Kids",,"Doug is an American animated sitcom created by Jim Jinkins and co-produced by his studio, Jumbo Pictures. The show's plotline centers around the surreal and imaginative exploits of its title character, Douglas ""Doug"" Funnie, who experiences common predicaments while attending school in his new hometown of Bluffington, Virginia. The series lampoons several topics, including puppy love, bullying, and rumors. Numerous episodes center around Doug's attempts to date his classmate Patti Mayonnaise.

Doug originally aired on Nickelodeon in the United States of America. It, along with Rugrats and The Ren & Stimpy Show, comprised the original three Nicktoons, premiering simultaneously on August 11, 1991 and ending on January 2, 1994. Following the acquisition of the former Jumbo Pictures by Disney in 1996, the series aired on ABC as part of the former Disney's One Saturday Morning programming block. The second series premiered on September 7, 1996, and ended on June 26, 1999 while having a feature film adaption. In 2011, the Nickelodeon series became syndicated on TeenNick's then newly debuted The '90s Are All That block.",https://image.tmdb.org/t/p/original//5Ed2qArJ7lO7LPK2TFxb8mkBfNV.jpg,384,
57,Taz-Mania,checked,1991-09-07,18.73,US,"Animation,Comedy",,"Taz-Mania is an American cartoon sitcom produced by Warner Bros. Animation from 1991 to 1995, broadcast in the United States on Fox and in Canada on Baton Broadcast System. The show follows the adventures of the classic Looney Tunes character, Taz in the fictional land of Tazmania.

Similar to other Warner Brothers cartoons of its time, such as Animaniacs and Tiny Toon Adventures, Taz-Mania frequently broke the fourth wall, and often made jokes showing that Taz could actually speak perfectly normal when he wanted to. The intro indicates that, in this rendering of Tasmania, ""the sky's always yellow, rain or shine"". The title song is performed by Jess Harnell and Jim Cummings.",https://image.tmdb.org/t/p/original//ozqJKBZq3k7BjyAwv2A7V1Zv6Ba.jpg,10126,
58,Pebble Mill,checked,1991-10-14,13.53,GB,Talk,,"Pebble Mill was a re-launched version of the 1970s daily chat show Pebble Mill (also known as Pebble Mill At One for a while) which aired on BBC1 in the United Kingdom. The series premiered on October 14, 1991. The show was a mixture of celebrity guests and music. Alan Titchmarsh was a presenter on the show throughout it's complete run. Other presenters included Judi Spiers, Gloria Hunniford and Ross King.",https://image.tmdb.org/t/p/original/,24156,
59,The Adventures of Tintin,checked,1991-10-02,12.297,US,"Animation,Action & Adventure",,"Travel with Tintin, the young and intrepid Belgian reporter, and his faithful dog Snowy as they take you from Tibet to the Moon, or from Egypt to the depths of the sea -- solving mysteries, pursuing truth and justice, and gambling with their lives.",https://image.tmdb.org/t/p/original//aKuZFaA09PBbUlosAT08jxktOmX.jpg,1570,
60,The Brittas Empire,checked,1991-01-03,11.869,GB,Comedy,,"The Brittas Empire is a British sitcom created and originally written by Andrew Norriss and Richard Fegen. Chris Barrie plays Gordon Brittas, the well-meaning but incompetent manager of Whitbury New Town Leisure Centre.

The show ran for seven series and 53 episodes — including two Christmas specials — from 1991 to 1997 on BBC1. Norriss and Fegen wrote the first five series, after which they left the show.

The Brittas Empire enjoyed a long and successful run throughout the 1990s, and gained itself large mainstream audiences. In 2004 the show came 47th on the BBC's Britain's Best Sitcom poll, and all series have been released on DVD.

The creators Andrew Norriss and Richard Fegen often combine farce with either surreal or dramatic elements in episodes. For example in the first series, the leisure centre prepares for a royal visit, only for the doors to seal, the boiler room to flood and a visitor to become electrocuted. Unlike the traditional sitcom, deaths were quite common in The Brittas Empire.",https://image.tmdb.org/t/p/original//uPtzc6MbPxeFdIO55Kd6QiiEIdH.jpg,245,
61,Batman: The Animated Series,checked,1992-09-05,51.014,US,"Animation,Drama,Mystery,Action & Adventure",,"Batman: The Animated Series is an American animated television series based on the DC Comics superhero Batman. The series was widely praised for its thematic complexity, dark tone, artistic quality, and faithfulness to its title character's crime-fighting origins.",https://image.tmdb.org/t/p/original//deTS2YTB2YXEVDghIxaaDWcFZJx.jpg,2098,
62,Highlander: The Series,checked,1992-10-03,24.434,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"Highlander: The Series is a fantasy science fiction action-adventure television series featuring Duncan MacLeod of the Scottish Clan MacLeod, as the Highlander. It was an offshoot and another alternate sequel of the 1986 feature film with a twist: Connor MacLeod did not win the prize and Immortals still exist post-1985. In fact, original Highlander star Christopher Lambert appeared in the Pilot episode so as to pass the torch to Adrian Paul. The series was an international hit and was nominated three times for the Gemini Awards and once for a Saturn Award in 1998.",https://image.tmdb.org/t/p/original//7FI6uMiPtqyLwcg3ZN0JjwoDhvJ.jpg,4414,
63,The Ren & Stimpy Show,checked,1992-08-22,23.229,CA,"Animation,Comedy,Sci-Fi & Fantasy",,"The Ren & Stimpy Show, often simply referred to as Ren & Stimpy, is an American animated television series, created by Canadian animator John Kricfalusi. The show premiered on August 11, 1991, on Nickelodeon as part of its Nicktoons block along with Rugrats and Doug. The series focuses on the titular characters: Ren Höek, an emotionally unstable chihuahua, and Stimpson J. Cat, a good-natured, dimwitted cat. The show ran for five seasons on the network. The show has received critical acclaim and developed a cult following during and after its run, while some critics credit it for leading the way for satirical animated shows like Beavis and Butt-head and South Park, and playing a significant role in television animation. Throughout its run, The Ren & Stimpy Show was controversial for its off-color humor, sexual innuendo, and violence, each of which contributed to the production staff's altercations with Nickelodeon's Standards and Practices department. A spin-off for adult audiences, Ren & Stimpy ""Adult Party Cartoon"", aired in 2003 on Spike, but was cancelled soon after its debut.",https://image.tmdb.org/t/p/original//3sBV01tSAVOpofbZP03o7zFxpLR.jpg,504,
64,X-Men,checked,1992-10-31,20.168,US,"Animation,Action & Adventure,Sci-Fi & Fantasy",,"The X-Men are an elite team of mutants, genetically gifted human beings with superpowers, sworn to fight for mutant rights against hostile Government agencies, whilst at the same time protecting mankind from mutant supremacist Magneto who seeks to destroy the human race in return for the atrocities committed against mutant kind.",https://image.tmdb.org/t/p/original//2OFwsFhAobczgJWnVdwd9oZAF2N.jpg,4574,
65,Absolutely Fabulous,checked,1992-11-12,12.539,GB,Comedy,,"Set in the world of fashion and PR, immature fun-loving mother Edina Monsoon and her best friend Patsy drive Eddie's sensible daughter, Saffron, up the wall with their constant drug abuse and outrageous selfishness. Numerous in-jokes and heavy doses of cruel humour have made this series a cult hit in the UK and abroad.",https://image.tmdb.org/t/p/original//u1zTUdY2u92in2sgVafUwh4LuCy.jpg,4493,
66,Star Trek: Deep Space Nine,checked,1993-01-03,56.764,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",https://image.tmdb.org/t/p/original//vE6138ykaEXQkCSEHyuBIgfGlUZ.jpg,580,
67,Frasier,checked,1993-09-16,52.567,US,Comedy,,"After many years spent at the “Cheers” bar, Frasier moves back home to Seattle to work as a radio psychiatrist after his policeman father gets shot in the hip on duty.",https://image.tmdb.org/t/p/original//gYAb6GCVEFsU9hzMCG5rxaxoIv3.jpg,3452,
68,The X-Files,checked,1993-09-10,48.718,US,"Drama,Mystery,Sci-Fi & Fantasy",,"The exploits of FBI Special Agents Fox Mulder and Dana Scully who investigate X-Files: marginalized, unsolved cases involving paranormal phenomena. Mulder believes in the existence of aliens and the paranormal while Scully, a skeptic, is assigned to make scientific analyses of Mulder's discoveries that debunk Mulder's work and thus return him to mainstream cases.",https://image.tmdb.org/t/p/original//5BD0kiTGnDxONqdrsswTewnk6WH.jpg,4087,
69,Beavis and Butt-head,checked,1993-03-08,28.86,US,"Animation,Comedy",,"Beavis and Butt-head are high school students whose lifestyles revolve around TV, junk food (usually nachos), shopping malls, heavy metal music, and trying to ""score with chicks"". Each show contains short cartoons centering on the duo who live in the fictitious town of Highland, Texas. The episodes are broken up by short breaks in which Beavis and Butt-head watch and make fun of music videos.",https://image.tmdb.org/t/p/original//5hgVcFr4eWGGRpjYwxb03z7wuqg.jpg,13943,
