tvshowID,TVShow,Watched,ReleaseDate,Popularity,CountryOfOrigin,Genre,Creator,Synopsis,Poster,ID,WikipediaPage
105,Stargate Atlantis,checked,2004-07-15,30.835,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"With the Ancients' city of Atlantis discovered in the Pegasus Galaxy by Stargate Command, Dr. Elizabeth Weir and Major Sheppard lead a scientific expedition to the ancient abandoned city. Once there, the team not only find themselves unable to contact Earth, but their explorations unexpectedly reawaken the Ancients' deadly enemies, The Wraith, who hunger for this new prey. Now with the help of newfound local allies like Teyla Emmagan, the Atlantis Team sets about to uncover their new home's secrets even as their war of survival against the Wraith begins.",https://image.tmdb.org/t/p/original//zfFjkOSK18SVrFRvvwrMrt6bEPy.jpg,2290,
106,The Office,checked,2005-03-24,73.491,US,Comedy,,"The everyday lives of office employees in the Scranton, Pennsylvania branch of the fictional Dunder Mifflin Paper Company.",https://image.tmdb.org/t/p/original//qWnJzyZhyy74gjpSjIXWmuk0ifX.jpg,2316,
107,Weeds,checked,2005-08-07,32.908,US,"Drama,Comedy,Crime",,"After the unexpected death of her husband, a suburban mom resorts to selling weed to support her family.",https://image.tmdb.org/t/p/original//gKUsBTa5b0GY7U4iWBseeBalfjO.jpg,186,
108,Heroes,checked,2006-09-25,41.551,US,"Drama,Sci-Fi & Fantasy",,Common people discover that they have super powers. Their lives intertwine as a devastating event must be prevented.,https://image.tmdb.org/t/p/original//7Cn1Sj5yipu7tBX14BbaXuBHbL1.jpg,1639,
109,Mad Men,checked,2007-07-19,33.679,US,Drama,,"Mad Men is set in the 1960s, initially at the fictional Sterling Cooper advertising agency on Madison Avenue in New York City, and later at the newly created firm, Sterling Cooper Draper Pryce, located nearby in the Time-Life Building, at 1271 Avenue of the Americas. According to the show's pilot, the phrase ""mad men"" was a slang term coined in the 1950s by advertisers working on Madison Avenue to refer to themselves. The focal point of the series is Don Draper, creative director at Sterling Cooper and a founding partner at Sterling Cooper Draper Pryce, and the people in his life, both in and out of the office. The plot focuses on the business of the agencies as well as the personal lives of the characters, regularly depicting the changing moods and social mores of the United States in the 1960s.",https://image.tmdb.org/t/p/original//5vpF8rBxIkjwcVI5H2vPG1JkoKn.jpg,1104,
110,Breaking Bad,checked,2008-01-20,129.67,US,Drama,,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",https://image.tmdb.org/t/p/original//ggFHVNu6YYI5L9pCfOacjizRGt.jpg,1396,
111,Star Wars: The Clone Wars,checked,2008-10-03,47.384,US,"Animation,Action & Adventure,Sci-Fi & Fantasy",,"Yoda, Obi-Wan Kenobi, Anakin Skywalker, Mace Windu and other Jedi Knights lead the Grand Army of the Republic against the droid army of the Separatists.",https://image.tmdb.org/t/p/original//e1nWfnnCVqxS2LeTO3dwGyAsG2V.jpg,4194,
112,Fringe,checked,2008-09-09,47.18,US,"Drama,Mystery,Sci-Fi & Fantasy",,"FBI Special Agent Olivia Dunham, brilliant but formerly institutionalized scientist Walter Bishop and his scheming, reluctant son Peter uncover a deadly mystery involving a series of unbelievable events and realize they may be a part of a larger, more disturbing pattern that blurs the line between science fiction and technology.",https://image.tmdb.org/t/p/original//sY9hg5dLJ93RJOyKEiu1nAtBRND.jpg,1705,
113,True Blood,checked,2008-09-07,43.65,US,"Drama,Sci-Fi & Fantasy",,"True Blood is an American television drama series created and produced by Alan Ball. It is based on The Southern Vampire Mysteries series of novels by Charlaine Harris, detailing the co-existence of vampires and humans in Bon Temps, a fictional, small town in northwestern Louisiana. The series centers on the adventures of Sookie Stackhouse, a telepathic waitress with an otherworldly quality.",https://image.tmdb.org/t/p/original//ktEp6fzL4xzCWsSVtrcH8JaQNQy.jpg,10545,
114,Terminator: The Sarah Connor Chronicles,checked,2008-01-13,30.928,US,"Sci-Fi & Fantasy,Drama",,"The series picks up four years after the events of Terminator 2: Judgment Day with John and Sarah Connor trying to stay under-the-radar from the government, as they plot to destroy the computer network, Skynet, in hopes of preventing Armageddon.",https://image.tmdb.org/t/p/original//yrdOWNsIwVFqTmiVDKjP4sxKhqf.jpg,433,
115,The Walking Dead,checked,2010-10-31,81.146,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,https://image.tmdb.org/t/p/original//5l10EjdgPxu8Gbl5Ww6SWkVQH6T.jpg,1402,
116,Sherlock,checked,2010-07-25,31.834,GB,"Crime,Drama,Mystery",,A modern update finds the famous sleuth and his doctor partner solving crime in 21st century London.,https://image.tmdb.org/t/p/original//aguWVR8xNilvw7t4X03UvG1hRJr.jpg,19885,
117,Game of Thrones,checked,2011-04-17,106.904,US,"Drama,Sci-Fi & Fantasy",,"Seven noble families fight for control of the mythical land of Westeros. Friction between the houses leads to full-scale war. All while a very ancient evil awakens in the farthest north. Amidst the war, a neglected military order of misfits, the Night's Watch, is all that stands between the realms of men and icy horrors beyond.",https://image.tmdb.org/t/p/original//u3bZgnGQ9T01sWNhyveQz0wH0Hl.jpg,1399,
118,Homeland,checked,2011-10-02,53.352,US,"Crime,Drama,Action & Adventure,War & Politics",,"CIA officer Carrie Mathison is tops in her field despite being bipolar, which makes her volatile and unpredictable. With the help of her long-time mentor Saul Berenson, Carrie fearlessly risks everything, including her personal well-being and even sanity, at every turn.",https://image.tmdb.org/t/p/original//6GAvS2e6VIRsms9FpVt33PsCoEW.jpg,1407,
119,Black Mirror,checked,2011-12-04,53.098,GB,"Drama,Sci-Fi & Fantasy",,"A contemporary British re-working of The Twilight Zone with stories that tap into the collective unease about our modern world. 

Over the last ten years, technology has transformed almost every aspect of our lives before we've had time to stop and question it. In every home; on every desk; in every palm - a plasma screen; a monitor; a smartphone - a black mirror of our 21st Century existence.",https://image.tmdb.org/t/p/original//pXeuSWSKgWUnhRFHZ4TjAUU8lbE.jpg,42009,
120,Marvel's Agents of S.H.I.E.L.D.,checked,2013-09-24,100.559,US,"Drama,Action & Adventure,Sci-Fi & Fantasy",,"Agent Phil Coulson of S.H.I.E.L.D. (Strategic Homeland Intervention, Enforcement and Logistics Division) puts together a team of agents to investigate the new, the strange and the unknown around the globe, protecting the ordinary from the extraordinary.",https://image.tmdb.org/t/p/original//gHUCCMy1vvj58tzE3dZqeC9SXus.jpg,1403,
121,Rick and Morty,checked,2013-12-02,80.923,US,"Animation,Comedy,Action & Adventure,Sci-Fi & Fantasy",,"Rick is a mentally-unbalanced but scientifically-gifted old man who has recently reconnected with his family. He spends most of his time involving his young grandson Morty in dangerous, outlandish adventures throughout space and alternate universes. Compounded with Morty's already unstable family life, these events cause Morty much distress at home and school.",https://image.tmdb.org/t/p/original//8kOWDBK6XlPUzckuHDo3wwVRFwt.jpg,60625,
122,House of Cards,checked,2013-02-01,46.282,US,Drama,,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.",https://image.tmdb.org/t/p/original//hKWxWjFwnMvkWQawbhvC0Y7ygQ8.jpg,1425,
123,Gotham,checked,2014-09-22,53.113,US,"Crime,Drama",,"Everyone knows the name Commissioner Gordon. He is one of the crime world's greatest foes, a man whose reputation is synonymous with law and order. But what is known of Gordon's story and his rise from rookie detective to Police Commissioner? What did it take to navigate the multiple layers of corruption that secretly ruled Gotham City, the spawning ground of the world's most iconic villains? And what circumstances created them – the larger-than-life personas who would become Catwoman, The Penguin, The Riddler, Two-Face and The Joker?",https://image.tmdb.org/t/p/original//4XddcRDtnNjYmLRMYpbrhFxsbuq.jpg,60708,
124,True Detective,checked,2014-01-12,52.074,US,Drama,,"An American anthology police detective series utilizing multiple timelines in which investigations seem to unearth personal and professional secrets of those involved, both within or outside the law.",https://image.tmdb.org/t/p/original//aowr4xpLP5sRCL50TkuADomJ98T.jpg,46648,
125,BoJack Horseman,checked,2014-08-22,43.267,US,"Animation,Comedy,Drama",,"Meet the most beloved sitcom horse of the 90s - 20 years later. BoJack Horseman was the star of the hit TV show ""Horsin' Around,"" but today he's washed up, living in Hollywood, complaining about everything, and wearing colorful sweaters.",https://image.tmdb.org/t/p/original//pB9L0jAnEQLMKgexqCEocEW8TA.jpg,61222,
126,Star Wars Rebels,checked,2014-10-13,31.341,US,"Animation,Action & Adventure",,"Set between the events of Star Wars: Episodes III and IV, the story unfolds during a dark time when the evil Galactic Empire is tightening its grip of power on the galaxy. Imperial forces have occupied a remote planet and are ruining the lives of its people. The motley but clever crew of the starship Ghost — cowboy Jedi Kanan, ace pilot Hera, street-smart teenager Ezra, the “muscle” Zeb, warrior firebrand Sabine, and cantankerous old astromech droid Chopper — is among a select few who are brave enough to stand against the Empire. Together, they will face threatening new villains, encounter colorful adversaries, embark on thrilling adventures, and become heroes with the power to ignite a rebellion.",https://image.tmdb.org/t/p/original//jmgR8330sKEJehr27rQ3bODnrlP.jpg,60554,
127,The Expanse,checked,2015-12-14,43.612,US,"Drama,Mystery,Sci-Fi & Fantasy",,A thriller set two hundred years in the future following the case of a missing young woman who brings a hardened detective and a rogue ship's captain together in a race across the solar system to expose the greatest conspiracy in human history.,https://image.tmdb.org/t/p/original//wikmaI7OVqmq2O9HfknkzxX6Ygu.jpg,63639,
128,Mr. Robot,checked,2015-05-27,43.5,US,"Crime,Drama",,"A contemporary and culturally resonant drama about a young programmer, Elliot, who suffers from a debilitating anti-social disorder and decides that he can only connect to people by hacking them. He wields his skills as a weapon to protect the people that he cares about. Elliot will find himself in the intersection between a cybersecurity firm he works for and the underworld organizations that are recruiting him to bring down corporate America.",https://image.tmdb.org/t/p/original//oKIBhzZzDX07SoE2bOLhq2EE8rf.jpg,62560,
129,Marvel's Daredevil,checked,2015-04-10,37.968,US,Crime,,Lawyer-by-day Matt Murdock uses his heightened senses from being blinded as a young boy to fight crime at night on the streets of Hell’s Kitchen as Daredevil.,https://image.tmdb.org/t/p/original//QWbPaDxiB6LW2LjASknzYBvjMj.jpg,61889,
